set,training,validation,testing
fold1,0.7,0.71,0.7
fold2,0.7,0.7,0.71
fold3,0.7,0.69,0.7
fold4,0.7,0.71,0.69
fold5,0.7,0.7,0.71
fold6,0.7,0.7,0.7
fold7,0.7,0.69,0.7
fold8,0.7,0.69,0.69
ave.,0.7,0.7,0.7
highest k,fold1,fold1,fold2
