set,training,validation,testing
fold1,0.7,0.72,0.7
fold2,0.7,0.69,0.72
fold3,0.7,0.69,0.69
fold4,0.7,0.69,0.69
fold5,0.7,0.69,0.69
fold6,0.7,0.7,0.69
fold7,0.7,0.7,0.7
ave.,0.7,0.7,0.7
highest k,fold1,fold1,fold2
