set,training,validation,testing
fold1,0.9,0.88,0.9
fold2,0.91,0.95,0.88
fold3,0.91,0.86,0.95
fold4,0.91,0.92,0.86
fold5,0.91,0.93,0.93
fold6,0.91,0.88,0.93
fold7,0.91,0.92,0.89
fold8,0.9,0.89,0.92
ave.,0.91,0.9,0.91
