set,training,validation,testing
fold1,0.91,0.94,0.91
fold2,0.91,0.91,0.95
fold3,0.91,0.87,0.91
fold4,0.91,0.94,0.89
fold5,0.91,0.89,0.93
fold6,0.91,0.88,0.9
fold7,0.91,0.91,0.89
ave.,0.91,0.91,0.91
