set,training,validation,test
fold1,0.97,1,0.9
fold2,0.98,0.89,0.99
fold3,0.98,0.95,0.89
fold4,0.98,0.99,0.95
fold5,0.98,0.96,0.98
fold6,0.97,0.9,0.96
fold7,0.97,0.89,0.89
fold8,0.97,0.98,0.89
fold9,0.98,0.99,0.96
fold10,0.98,0.9,0.99
ave.,0.98,0.94,0.94
