set,training,validation,test
fold1,0.97,0.98,0.98
fold2,0.97,0.99,0.99
fold3,0.98,0.97,0.99
fold4,0.97,0.82,0.98
fold5,0.98,0.99,0.82
fold6,0.97,0.9,0.99
fold7,0.98,0.99,0.89
fold8,0.98,0.98,0.99
fold9,0.98,0.98,0.98
ave.,0.98,0.96,0.96
