set,training,validation,test
fold1,0.97,0.93,0.98
fold2,0.98,0.99,0.94
fold3,0.98,0.97,0.99
fold4,0.97,0.99,0.97
fold5,0.98,0.97,0.98
fold6,0.98,0.97,0.97
fold7,0.98,0.98,0.98
ave.,0.98,0.97,0.97
