set,training,validation,test
fold1,0.97,0.97,0.96
fold2,0.98,0.99,0.98
fold3,0.98,0.98,0.99
fold4,0.98,0.88,0.96
fold5,0.98,0.98,0.88
fold6,0.98,0.96,0.97
ave.,0.98,0.96,0.96
