set,training,validation,test
fold1,0.97,0.98,0.98
fold2,0.98,0.98,0.98
fold3,0.98,0.95,0.98
fold4,0.97,0.98,0.96
fold5,0.98,0.98,0.99
ave.,0.98,0.97,0.98
