set,training,validation,test
fold1,0.97,0.97,0.94
fold2,0.98,0.89,0.97
fold3,0.97,0.97,0.88
fold4,0.98,0.97,0.98
fold5,0.97,0.97,0.97
fold6,0.97,0.84,0.97
fold7,0.98,0.99,0.85
fold8,0.97,0.94,0.98
ave.,0.97,0.94,0.94
