set,training,validation,testing
fold1,0.91,0.9,0.93
fold2,0.9,0.93,0.89
fold3,0.91,0.9,0.93
fold4,0.91,0.92,0.89
fold5,0.91,0.91,0.92
fold6,0.91,0.88,0.91
fold7,0.91,0.83,0.88
fold8,0.91,0.9,0.84
fold9,0.91,0.93,0.9
fold10,0.91,0.94,0.93
ave.,0.91,0.9,0.9
