set,training,validation,testing
fold1,0.91,0.91,0.93
fold2,0.9,0.91,0.91
fold3,0.91,0.95,0.9
fold4,0.91,0.96,0.94
fold5,0.91,0.88,0.96
fold6,0.91,0.9,0.87
fold7,0.9,0.91,0.9
fold8,0.91,0.83,0.92
fold9,0.91,0.93,0.83
ave.,0.91,0.91,0.91
