set,training,validation,testing
fold1,0.91,0.91,0.93
fold2,0.91,0.87,0.91
fold3,0.91,0.93,0.88
fold4,0.91,0.94,0.93
fold5,0.9,0.86,0.94
fold6,0.91,0.93,0.86
ave.,0.91,0.91,0.91
